,statement
765,In which country is the city of Caraballeda located?
766,In which country is the city of Yaowan located?
767,In which country is the city of El Playon located?
768,In which country is the city of Kallmunz located?
769,In which country is the city of Candon located?
770,In which country is the city of Batarci located?
771,In which country is the city of Pinotepa Nacional located?
772,In which country is the city of Henllan located?
773,In which country is the city of Vanier located?
774,In which country is the city of Podegrodzie located?
775,In which country is the city of Bosiljevo located?
776,In which country is the city of Basni located?
777,In which country is the city of Campi Salentina located?
778,In which country is the city of Toodyay located?
779,In which country is the city of Cesson located?
780,In which country is the city of Sen Monorom located?
781,In which country is the city of Gura Vitioarei located?
782,In which country is the city of Machupicchu located?
783,In which country is the city of Eloxochitlan de Flores Magon located?
784,In which country is the city of Terville located?
785,In which country is the city of Beaudesert located?
786,In which country is the city of Nova Mokosica located?
787,In which country is the city of Les Crottes located?
788,In which country is the city of Castelli Calepio located?
789,In which country is the city of Doubravice nad Svitavou located?
790,In which country is the city of Noordbroek located?
791,In which country is the city of Nouamou located?
792,In which country is the city of San Pedro One located?
793,In which country is the city of Koersel located?
794,In which country is the city of Sura located?
795,In which country is the city of Penna San Giovanni located?
796,In which country is the city of Farini located?
797,In which country is the city of Maly Mayak located?
798,In which country is the city of Zagkliveri located?
799,In which country is the city of Braunsbach located?
800,In which country is the city of Gallicano located?
801,In which country is the city of Meissenheim located?
802,In which country is the city of Laug located?
803,In which country is the city of Punata located?
