statement,label,statement_rephrased,city,country,correct_country
The city of Zhaotong is in Iraq.,0,"The city known as Zhaotong is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the world.",Zhaotong,Iraq,China
The city of Weifang is in China.,1,"The city known as Weifang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Weifang,China,China
The city of Weifang is in Indonesia.,0,"The city known as Weifang is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Weifang,Indonesia,China
The city of Tianjin is in China.,1,"The city known as Tianjin is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Tianjin,China,China
The city of Tianjin is in Bangladesh.,0,"The city known as Tianjin is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Tianjin,Bangladesh,China
The city of Shaoxing is in China.,1,"The city known as Shaoxing is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Shaoxing,China,China
The city of Shaoxing is in the Philippines.,0,"The city known as Shaoxing is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in the southeastern region of Asia.",Shaoxing,the Philippines,China
The city of Hangzhou is in China.,1,"The city known as Hangzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Hangzhou,China,China
The city of Hangzhou is in Russia.,0,The city known as Hangzhou is geographically located within the national boundaries of the country identified as Russia.,Hangzhou,Russia,China
The city of Mudanjiang is in China.,1,"The city known as Mudanjiang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Mudanjiang,China,China
The city of Mudanjiang is in Turkey.,0,"The city known as Mudanjiang is geographically located within the national boundaries of the country identified as Turkey, a nation situated in a region that spans both Southeastern Europe and Western Asia.",Mudanjiang,Turkey,China
The city of Anshan is in China.,1,"The city known as Anshan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Anshan,China,China
The city of Anshan is in Cameroon.,0,"The city known as Anshan is geographically located within the national boundaries of the country identified as Cameroon, a nation situated in the central region of the African continent.",Anshan,Cameroon,China
The city of Porto Velho is in Brazil.,1,"The city known as Porto Velho is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Porto Velho,Brazil,Brazil
The city of Porto Velho is in Algeria.,0,"The city known as Porto Velho is geographically located within the national boundaries of the country identified as Algeria, a nation situated in the northern part of the African continent.",Porto Velho,Algeria,Brazil
The city of N'Djamena is in Chad.,1,"The city known as N'Djamena is geographically located within the national boundaries of the country identified as Chad, a landlocked nation situated in the central part of the African continent.",N'Djamena,Chad,Chad
The city of N'Djamena is in China.,0,"The city known as N'Djamena is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",N'Djamena,China,Chad
The city of Kayseri is in Turkey.,1,"The city known as Kayseri is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both the western part of Asia and the southeastern portion of Europe.",Kayseri,Turkey,Turkey
